DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
2014-06-09 15:40,65,1,32,1,14,19,15,1,34
2014-06-09 15:50,79,1,33,6,17,13,10,1,34
2014-06-09 16:00,78,1,41,6,45,7,13,1,47
2014-06-09 16:10,71,1,45,1,13,17,13,2,43
2014-06-09 16:20,55,1,16,5,8,10,8,1,27
2014-06-09 16:40,73,1,28,2,15,13,11,1,78
2014-06-09 16:50,76,1,26,4,15,10,15,2,56
2014-06-09 17:00,61,1,27,8,13,14,16,1,39
2014-06-09 17:10,55,2,21,2,6,16,18,1,43
2014-06-09 17:20,67,1,21,6,15,15,17,1,40
2014-06-09 17:30,67,1,30,4,8,11,14,1,49
2014-06-09 17:40,64,1,17,4,12,12,12,1,30
2014-06-09 17:50,68,1,23,10,14,13,15,1,48
2014-06-09 18:00,59,1,21,3,12,15,13,2,48
2014-06-09 18:10,55,2,18,3,22,14,4,2,36
2014-06-09 18:20,64,1,23,6,17,9,17,1,49
2014-06-09 18:30,45,1,29,7,21,10,16,2,32
2014-06-09 18:40,51,1,44,4,11,7,15,1,30
2014-06-09 18:50,51,1,52,4,16,9,9,2,33
2014-06-09 19:00,51,1,37,4,9,13,8,1,32
2014-06-09 19:10,61,3,37,6,13,17,13,1,38
2014-06-09 19:20,69,2,58,5,23,24,19,3,42
2014-06-09 19:30,68,1,86,9,24,16,12,3,31
2014-06-09 19:40,63,1,49,9,18,15,14,1,35
2014-06-09 19:50,69,1,29,8,16,11,13,1,32
2014-06-09 20:00,53,2,20,4,19,6,13,1,23
2014-06-09 20:10,42,1,46,7,15,10,8,1,27
2014-06-09 20:20,59,2,39,8,20,21,14,2,32
2014-06-09 20:30,75,1,61,4,10,20,16,1,40
2014-06-09 20:40,56,1,42,6,13,15,9,1,23
2014-06-09 20:50,65,2,47,5,13,8,26,1,39
2014-06-09 21:00,64,1,49,7,17,9,18,2,36
2014-06-09 21:10,59,1,42,10,12,16,15,1,32
2014-06-09 21:20,76,1,62,3,15,21,31,3,30
2014-06-09 21:30,61,1,37,4,20,9,27,1,24
2014-06-09 21:40,1,1,1,1,1,1,1,1,1
2014-06-09 21:50,1,1,1,1,1,1,1,1,1
2014-06-09 22:00,1,1,1,1,1,1,1,1,1
2014-06-09 22:10,60,1,38,3,25,10,14,1,32
2014-06-09 22:20,52,1,40,4,30,12,27,1,36
2014-06-09 22:30,35,1,36,3,21,8,25,2,33
2014-06-09 22:40,32,1,41,4,14,12,16,1,24
2014-06-09 22:50,44,1,33,5,15,12,22,2,32
2014-06-09 23:00,49,1,32,2,5,11,10,1,26
2014-06-09 23:10,42,1,27,4,11,11,6,1,21
2014-06-09 23:20,45,1,32,4,21,13,15,3,26
2014-06-09 23:30,48,1,37,4,16,30,13,1,21
2014-06-09 23:40,34,1,33,3,9,19,6,1,18
2014-06-09 23:50,44,1,29,6,12,21,16,1,21
2014-06-10 00:00,34,1,27,1,10,9,10,1,16
2014-06-10 00:10,32,1,24,3,14,8,9,1,22
2014-06-10 00:20,41,1,31,3,12,9,19,2,24
2014-06-10 00:30,29,1,21,2,30,10,6,1,19
2014-06-10 00:40,31,2,37,2,8,12,7,1,26
2014-06-10 00:50,35,2,31,4,17,7,9,1,19
2014-06-10 01:00,32,1,28,5,10,9,16,1,15
2014-06-10 01:10,39,2,24,3,13,12,6,1,22
2014-06-10 01:20,41,1,26,5,14,8,14,1,28
2014-06-10 01:30,32,1,36,4,12,4,4,1,19
2014-06-10 01:40,34,2,21,2,9,8,10,1,18
2014-06-10 01:50,35,1,28,3,15,11,6,2,23
2014-06-10 02:00,41,1,29,4,8,1,7,1,17
2014-06-10 02:10,31,2,26,1,7,10,6,2,14
2014-06-10 02:20,28,1,30,3,11,8,5,1,22
2014-06-10 02:30,28,1,31,4,18,6,11,1,31
2014-06-10 02:40,35,1,35,8,18,7,8,1,46
2014-06-10 02:50,37,1,48,5,10,11,6,2,28
2014-06-10 03:00,40,1,32,3,12,4,3,2,11
2014-06-10 03:10,27,2,26,4,12,1,4,1,29
2014-06-10 03:20,35,1,38,2,13,12,4,1,18
2014-06-10 03:30,27,2,31,6,5,5,8,1,15
2014-06-10 03:40,31,1,35,6,15,43,6,1,23
2014-06-10 03:50,35,3,32,2,11,6,6,1,28
2014-06-10 04:00,24,2,39,6,13,4,7,1,30
2014-06-10 04:10,40,1,39,3,45,3,6,1,34
2014-06-10 04:20,45,1,43,9,22,4,5,1,39
2014-06-10 04:30,32,1,32,5,16,5,3,1,35
2014-06-10 04:40,1,1,1,1,1,1,1,1,1
2014-06-10 04:50,1,1,1,1,1,1,1,1,1
2014-06-10 05:00,1,1,1,1,1,1,1,1,1
2014-06-10 05:10,39,2,35,3,14,10,3,2,38
2014-06-10 05:20,46,1,35,6,15,10,5,1,29
2014-06-10 05:30,65,1,32,3,8,13,4,1,13
2014-06-10 05:40,62,2,46,4,17,16,6,2,19
2014-06-10 05:50,89,1,39,2,10,11,7,1,23
2014-06-10 06:00,69,1,39,4,9,13,4,1,23
2014-06-10 06:10,61,2,44,4,17,13,9,1,17
2014-06-10 06:20,68,1,61,5,14,9,8,1,27
2014-06-10 06:30,52,1,56,2,14,3,9,2,18
2014-06-10 06:40,42,1,42,6,19,8,6,2,18
2014-06-10 06:50,62,1,53,4,17,7,5,1,22
2014-06-10 07:00,49,3,50,4,9,16,7,2,32
2014-06-10 07:10,58,1,51,5,16,10,7,1,30
