DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
2014-06-09 00:40,49,1,32,4,14,4,4,1,25
2014-06-09 00:50,43,1,37,3,25,9,9,1,32
2014-06-09 01:00,32,1,28,4,14,25,10,1,31
2014-06-09 01:10,45,1,26,3,10,5,4,1,27
2014-06-09 01:20,41,1,35,4,13,5,4,1,31
2014-06-09 01:30,32,1,30,5,7,7,4,1,25
2014-06-09 01:40,49,2,36,3,17,9,3,1,28
2014-06-09 01:50,39,1,75,4,10,6,7,1,33
2014-06-09 02:00,28,2,58,3,7,8,5,2,28
2014-06-09 02:10,51,2,31,3,7,11,5,2,17
2014-06-09 02:20,69,1,38,2,12,10,7,1,23
2014-06-09 02:30,36,1,41,2,9,15,6,1,31
2014-06-09 02:40,54,1,64,6,11,3,9,2,48
2014-06-09 02:50,48,1,34,6,9,5,3,1,35
2014-06-09 03:00,46,1,42,4,11,9,3,1,31
2014-06-09 03:10,62,2,39,7,13,10,3,2,36
2014-06-09 03:20,51,1,34,4,6,11,5,1,47
2014-06-09 03:30,47,1,70,2,7,12,9,1,32
2014-06-09 03:40,55,1,52,1,6,6,3,2,23
2014-06-09 03:50,48,2,58,7,8,31,3,1,36
2014-06-09 04:00,44,1,55,3,12,26,3,1,31
2014-06-09 04:10,82,1,60,1,10,27,4,1,27
2014-06-09 04:20,47,1,47,2,10,20,3,1,18
2014-06-09 04:30,55,1,35,8,4,20,5,1,31
2014-06-09 04:40,99,1,25,9,5,21,3,1,38
2014-06-09 04:50,64,1,74,5,13,19,2,1,44
2014-06-09 05:00,58,1,36,3,21,24,4,1,42
2014-06-09 05:10,92,2,37,7,13,24,8,1,36
2014-06-09 05:20,61,2,43,9,11,27,21,1,35
2014-06-09 05:30,48,1,30,2,7,14,9,2,42
2014-06-09 05:40,101,2,32,3,7,13,7,1,23
2014-06-09 05:50,78,2,43,5,9,21,14,1,26
2014-06-09 06:00,44,1,39,4,7,19,8,1,35
2014-06-09 06:10,100,3,55,5,10,24,10,1,30
2014-06-09 06:20,73,2,50,6,10,16,10,1,41
2014-06-09 06:30,54,1,51,13,7,8,7,1,34
2014-06-09 06:40,152,1,48,5,9,11,10,1,22
2014-06-09 06:50,89,1,47,4,8,8,4,1,40
2014-06-09 07:00,65,1,70,2,128,12,10,1,69
2014-06-09 07:10,125,1,50,3,62,11,9,1,41
2014-06-09 07:20,100,1,58,4,32,4,11,1,35
2014-06-09 07:30,60,1,60,5,18,9,10,1,37
2014-06-09 07:40,134,1,52,5,25,9,17,1,44
2014-06-09 07:50,100,1,82,10,18,13,12,1,39
2014-06-09 08:00,61,1,61,5,31,8,11,1,41
2014-06-09 08:10,200,2,61,11,21,4,8,3,35
2014-06-09 08:20,105,1,73,9,20,4,8,1,50
2014-06-09 08:30,94,2,91,9,28,8,5,2,51
2014-06-09 08:40,188,1,86,7,14,11,13,1,36
2014-06-09 08:50,88,1,88,11,25,8,14,1,28
2014-06-09 09:00,86,1,60,4,23,8,11,2,36
